ort,zusatz,bundesland,plz,lat,lon
Altenberge,Westf,Nordrhein-Westfalen,48341,52.02818,7.48278
Altenbeuthen,,Thüringen,07338,50.58139,11.47863
Altenbrak,,Sachsen-Anhalt,38889,51.78685,10.95099
Altenbuch,Unterfr,Bayern,97901,49.8282,9.39305
Altenburg,Thür,Thüringen,04600,50.98889,12.42907
Altendambach,,Thüringen,98553,50.53675,10.74503
Altendiez,,Rheinland-Pfalz,65624,50.37059,7.98354
Altendorf,Kr Bamberg,Bayern,96146,49.79917,11.00257
Altendorf,b Nabburg,Bayern,92540,49.42012,12.29079
Altendorf,b Sebnitz,Sachsen,01855,50.97307,14.27302
Altenfeld,"b Ilmenau, Thür",Thüringen,98701,50.59213,11.04641
Altengesees,,Thüringen,07356,50.44155,11.61814
Altenglan,,Rheinland-Pfalz,66885,49.5499,7.45863
Altengottern,,Thüringen,99991,51.15222,10.57443
Altenhagen,b Altentreptow,Mecklenburg-Vorpommern,17091,53.65186,13.12414
Altenhagen,b Bad Doberan,Mecklenburg-Vorpommern,18236,54.06316,11.7968
Altenhausen,b Haldensleben,Sachsen-Anhalt,39343,52.22486,11.30453
Altenhof,b Eberswalde,Brandenburg,16244,52.84992,13.68287
Altenhof,b Eckernförde,Schleswig-Holstein,24340,54.44078,9.82271
Altenhof,b Kaiserslautern,Rheinland-Pfalz,67677,49.49311,7.89885
Altenhof,b Kyllburg,Rheinland-Pfalz,54655,50.05755,6.60138
Altenhof,"b Oberweis, Eifel",Rheinland-Pfalz,54636,49.99789,6.49627
Altenhof,b Röbel,Mecklenburg-Vorpommern,17209,53.32468,12.45353
Altenholz,,Schleswig-Holstein,24161,54.39433,10.11544
Altenkirchen,(Westerwald),Rheinland-Pfalz,57610,50.68244,7.66258
Altenkirchen,Pfalz,Rheinland-Pfalz,66903,49.44211,7.31975
Altenkirchen,Rügen,Mecklenburg-Vorpommern,18556,54.64393,13.34539
Altenkrempe,,Schleswig-Holstein,23730,54.13364,10.82251
Altenkunstadt,,Bayern,96264,50.12804,11.23956
Altenmarkt,a d Alz,Bayern,83352,48.00782,12.48797
Altenmedingen,,Niedersachsen,29575,53.13175,10.59822
Altenmoor,,Schleswig-Holstein,25335,53.75434,9.60588
Altenmünster,Schwab,Bayern,86450,48.46502,10.56265
Altenpleen,,Mecklenburg-Vorpommern,18445,54.37122,13.0232
Altenriet,,Baden-Württemberg,72657,48.59466,9.20957
Altenroda,,Sachsen-Anhalt,06642,51.25181,11.52892
Altensalzwedel,,Sachsen-Anhalt,29416,52.79643,11.33372
Altenstadt,Hess,Hessen,63674,50.28305,8.94823
Altenstadt,Iller,Bayern,89281,48.1599,10.11407
Altenstadt,a d Waldnaab,Bayern,92665,49.71446,12.15606
Altenstadt,b Schongau,Bayern,86972,47.82814,10.87156
Altensteig,Württ,Baden-Württemberg,72213,48.59083,8.57628
Altenthann,Oberpf,Bayern,93177,49.09218,12.30456
Altentreptow,,Mecklenburg-Vorpommern,17087,53.68934,13.24371
Altenweddingen,,Sachsen-Anhalt,39171,52.03183,11.51991
Altenzaun,,Sachsen-Anhalt,39596,52.7276,11.95016
Alterkülz,,Rheinland-Pfalz,56288,50.07132,7.44511
Alterode,,Sachsen-Anhalt,06543,51.63498,11.31101
Altersbach,b Schmalkalden,Thüringen,98587,50.70731,10.60131
Altertheim,,Bayern,97237,49.72673,9.74502
Altes Forsthaus,,Rheinland-Pfalz,56130,50.35051,7.72275
Altes Lager,,Brandenburg,14913,51.95066,13.09874
Altfraunhofen,,Bayern,84169,48.44872,12.16775
Altfriedland,,Brandenburg,15320,52.59596,14.23637
Altfriesack,,Brandenburg,16818,52.90326,12.72486
Altgersdorf,,Brandenburg,16259,52.79807,14.01577
Altglietzen,,Brandenburg,16259,52.79807,14.01577
Althegnenberg,,Bayern,82278,48.23574,11.06655
Altheim,(Alb),Baden-Württemberg,89174,48.5817,10.02499
Altheim,"b Ehingen, Donau",Baden-Württemberg,89605,48.32894,9.76963
Altheim,"b Riedlingen, Württ",Baden-Württemberg,88499,48.14915,9.45981
Altheimersberg,,Bayern,91788,48.94175,10.99657
Althengstett,,Baden-Württemberg,75382,48.73118,8.7907
Althornbach,,Rheinland-Pfalz,66484,49.19984,7.46936
Althütte,Württ,Baden-Württemberg,71566,48.93191,9.57671
Althüttendorf,,Brandenburg,16247,52.97946,13.74486
Altjeßnitz,,Sachsen-Anhalt,06800,51.68672,12.32446
Altkalen,,Mecklenburg-Vorpommern,17179,53.97155,12.70468
Altkirchen,"b Schmölln, Thür",Thüringen,04626,50.88529,12.31009
Altkünkendorf,,Brandenburg,16278,53.04259,13.98426
Altlandsberg,,Brandenburg,15345,52.62518,13.91087
Altlay,,Rheinland-Pfalz,56858,50.08943,7.2844
Altleiningen,,Rheinland-Pfalz,67317,49.49639,8.07308
Altlewin,,Brandenburg,16259,52.79807,14.01577
Altlußheim,,Baden-Württemberg,68804,49.29914,8.50395
Altlüdersdorf,,Brandenburg,16775,53.05639,13.10828
Altmachern,,Rheinland-Pfalz,54492,49.96595,7.01934
Altmannstein,,Bayern,93336,48.89695,11.65283
Altmersleben,,Sachsen-Anhalt,39624,52.68707,11.4372
Altmittweida,,Sachsen,09648,50.97096,12.97611
Altmädewitz,,Brandenburg,16259,52.79807,14.01577
Altomünster,,Bayern,85250,48.38867,11.2551
Altona,b Eldena a d Elde,Mecklenburg-Vorpommern,19294,53.21121,11.41481
Altottenhain,,Sachsen,04643,51.05507,12.68595
Altreetz,,Brandenburg,16259,52.79807,14.01577
Altrich,,Rheinland-Pfalz,54518,49.95221,6.81812
Altrip,Kr Ludwigshafen am Rhein,Rheinland-Pfalz,67122,49.43144,8.49498
Altscheid,,Rheinland-Pfalz,54636,49.99789,6.49627
Altshausen,,Baden-Württemberg,88361,47.93356,9.52635
